"time1_size_s_fq","rec_serv_s_fq","env_car_s_fq","time2_delay_s_fq","delay_rtt_s_fq","ncars_s_fq"
198,475002.181818182,497880.727272727,198,7.41918181818182,11
199,452123.636363636,494612.363636364,199,8.22,11
200,463018.181818182,494612.363636364,200,12.29,11
201,448855.272727273,496791.272727273,201,11.1863636363636,11
202,489165.090909091,493522.909090909,202,6.89545454545455,11
203,486986.181818182,498970.181818182,203,9.58636363636364,11
204,469554.909090909,492433.454545455,204,4.60890909090909,11
205,471733.818181818,496791.272727273,205,7.17209090909091,11
206,404187.636363636,496791.272727273,206,10.2372727272727,11
207,433602.909090909,490254.545454545,207,5.48790909090909,11
208,409634.909090909,497880.727272727,208,3.45181818181818,11
209,442318.545454545,497880.727272727,209,4.48554545454545,11
210,471733.818181818,496791.272727273,210,16.6036363636364,11
211,482628.363636364,492433.454545455,211,6.77454545454545,11
212,480449.454545455,500059.636363636,212,9.17681818181818,11
213,478270.545454545,493522.909090909,213,1.88545454545455,11
214,440139.636363636,500059.636363636,214,3.79090909090909,11
215,429245.090909091,494612.363636364,215,4.18181818181818,11
216,486986.181818182,492433.454545455,216,5.71909090909091,11
217,424887.272727273,497880.727272727,217,5.82636363636364,11
218,461928.727272727,491344,218,4.92718181818182,11
219,479360,500059.636363636,219,8.63363636363636,11
220,471733.818181818,493522.909090909,220,5.43909090909091,11
221,370414.545454545,495701.818181818,221,9.70363636363636,11
222,454302.545454545,491344,222,4.44827272727273,11
223,496791.272727273,496791.272727273,223,4.54827272727273,11
224,449944.727272727,494612.363636364,224,3.64518181818182,11
225,471733.818181818,496791.272727273,225,6.80409090909091,11
226,434692.363636364,494612.363636364,226,10.2770909090909,11
227,463018.181818182,498970.181818182,227,7.19363636363636,11
228,477181.090909091,492433.454545455,228,5.50545454545455,11
229,441229.090909091,494612.363636364,229,8.28509090909091,11
230,346446.545454545,498970.181818182,230,5.49545454545455,11
231,417261.090909091,495701.818181818,231,2.29545454545455,11
232,465197.090909091,491344,232,3.52627272727273,11
233,455392,500059.636363636,233,3.592,11
234,429245.090909091,492433.454545455,234,4.82645454545455,11
235,402008.727272727,495701.818181818,235,3.31845454545455,11
236,418350.545454545,495701.818181818,236,5.96,11
237,491344,496791.272727273,237,4.63681818181818,11
238,449944.727272727,491344,238,6.12636363636364,11
