"time1_size_s_fn","rec_serv_s_fn","env_car_s_fn","time2_delay_s_fn","delay_rtt_s_fn","ncars_s_fn"
242,497880.727272727,495701.818181818,243,5.33327272727273,11
243,494612.363636364,494612.363636364,244,13.1272727272727,11
244,486986.181818182,494612.363636364,245,7.47845454545455,11
245,488075.636363636,493522.909090909,246,2.84290909090909,11
246,495701.818181818,496791.272727273,247,2.23509090909091,11
247,490254.545454545,494612.363636364,248,6.69445454545454,11
248,493522.909090909,495701.818181818,249,4.02190909090909,11
249,444497.454545455,495701.818181818,250,6.38263636363636,11
250,447765.818181818,496791.272727273,251,24.3464545454545,11
251,490254.545454545,496791.272727273,252,2.94736363636364,11
252,500059.636363636,492433.454545455,253,9.29818181818182,11
253,483717.818181818,498970.181818182,254,4.26363636363636,11
254,495701.818181818,493522.909090909,255,4.24863636363636,11
255,492433.454545455,495701.818181818,256,6.95218181818182,11
256,493522.909090909,495701.818181818,257,3.82454545454545,11
257,466286.545454545,493522.909090909,258,6.78090909090909,11
258,441229.090909091,500059.636363636,259,7.24418181818182,11
259,492433.454545455,489165.090909091,260,6.084,11
260,490254.545454545,500059.636363636,261,4.376,11
261,501149.090909091,493522.909090909,262,3.75954545454545,11
262,476091.636363636,494612.363636364,263,2.62745454545455,11
263,455392,494612.363636364,264,1.72945454545455,11
264,451034.181818182,497880.727272727,265,3.06145454545455,11
265,446676.363636364,494612.363636364,266,10.5843636363636,11
266,486986.181818182,493522.909090909,267,8.60827272727273,11
267,479360,493522.909090909,268,3.443,11
268,492433.454545455,495701.818181818,269,10.5396363636364,11
269,481538.909090909,497880.727272727,270,6.03027272727273,11
270,485896.727272727,493522.909090909,271,9.08272727272727,11
271,419440,494612.363636364,272,6.43454545454545,11
272,451034.181818182,496791.272727273,273,9.64090909090909,11
273,482628.363636364,494612.363636364,274,4.37545454545455,11
274,469554.909090909,497880.727272727,275,5.36181818181818,11
275,472823.272727273,496791.272727273,276,7.10363636363636,11
276,490254.545454545,495701.818181818,277,12.4463636363636,11
