"time1_size_e_fn","rec_serv_e_fn","env_car_e_fn","time2_delay_e_fn","delay_rtt_e_fn","ncars_e_fn"
209,237501.090909091,493522.909090909,220,1661.45454545455,11
210,222248.727272727,500059.636363636,221,1035.27272727273,11
211,294152.727272727,497880.727272727,222,827.909090909091,11
212,241858.909090909,495701.818181818,223,415.363636363636,11
213,259290.181818182,493522.909090909,224,1035.45454545455,11
214,228785.454545455,493522.909090909,225,834,11
215,227696,497880.727272727,227,207.272727272727,11
216,272363.636363636,490254.545454545,228,835.545454545455,11
217,235322.181818182,497880.727272727,229,622.454545454545,11
218,230964.363636364,493522.909090909,230,828.090909090909,11
219,218980.363636364,497880.727272727,231,620.090909090909,11
220,209175.272727273,495701.818181818,233,830.272727272727,11
221,234232.727272727,497880.727272727,234,1234.63636363636,11
222,215712,493522.909090909,235,624.454545454545,11
223,228785.454545455,496791.272727273,236,1034.54545454545,11
224,240769.454545455,496791.272727273,237,818.636363636364,11
225,248395.636363636,494612.363636364,238,826.909090909091,11
226,278900.363636364,497880.727272727,239,205.909090909091,11
227,234232.727272727,495701.818181818,240,412.909090909091,11
228,242948.363636364,493522.909090909,241,1448.27272727273,11
229,234232.727272727,492433.454545455,242,824.181818181818,11
230,223338.181818182,493522.909090909,243,1239.09090909091,11
231,210264.727272727,497880.727272727,244,1242.63636363636,11
232,209175.272727273,495701.818181818,245,414.454545454545,11
233,235322.181818182,494612.363636364,246,1242.45454545455,11
234,214622.545454545,495701.818181818,247,829.727272727273,11
235,224427.636363636,495701.818181818,248,619.454545454545,11
236,225517.090909091,493522.909090909,249,828.545454545455,11
237,253842.909090909,492433.454545455,250,620.272727272727,11
238,227696,495701.818181818,251,1668,11
239,213533.090909091,494612.363636364,252,1032.63636363636,11
240,188475.636363636,495701.818181818,253,1242,11
241,236411.636363636,497880.727272727,254,207.181818181818,11
242,235322.181818182,495701.818181818,255,621.363636363636,11
243,205906.909090909,493522.909090909,256,1249.18181818182,11
244,273453.090909091,496791.272727273,257,621.454545454545,11
245,206996.363636364,491344,258,208.090909090909,11
246,225517.090909091,498970.181818182,259,1038.36363636364,11
247,201549.090909091,493522.909090909,260,1654.63636363636,11
248,242948.363636364,495701.818181818,261,1240.45454545455,11
249,227696,495701.818181818,262,825.363636363636,11
250,230964.363636364,495701.818181818,263,826.636363636364,11
251,229874.909090909,497880.727272727,264,1238.45454545455,11
252,245127.272727273,495701.818181818,265,1235.54545454545,11
253,278900.363636364,494612.363636364,266,824.272727272727,11
254,214622.545454545,495701.818181818,267,826.545454545455,11
255,193922.909090909,498970.181818182,268,620.909090909091,11
256,211354.181818182,491344,269,622.363636363636,11
257,224427.636363636,495701.818181818,270,621.454545454545,11
258,246216.727272727,497880.727272727,271,208.090909090909,11
259,248395.636363636,494612.363636364,272,835.090909090909,11
260,235322.181818182,498970.181818182,273,835.090909090909,11
261,244037.818181818,491344,274,620.909090909091,11
262,251664,493522.909090909,275,413.454545454545,11
263,178670.545454545,496791.272727273,276,1038.27272727273,11
264,217890.909090909,494612.363636364,277,828,11
265,184117.818181818,496791.272727273,278,829.363636363636,11
266,235322.181818182,494612.363636364,279,621.909090909091,11
267,230964.363636364,494612.363636364,280,1240.09090909091,11
268,190654.545454545,494612.363636364,281,825.181818181818,11
269,210264.727272727,495701.818181818,282,619.454545454545,11
270,220069.818181818,495701.818181818,283,1032.90909090909,11
271,179760,494612.363636364,284,831.818181818182,11
272,210264.727272727,494612.363636364,285,620.454545454545,11
273,230964.363636364,497880.727272727,286,621.454545454545,11
274,244037.818181818,495701.818181818,287,208.909090909091,11
275,227696,496791.272727273,288,414.545454545455,11
276,240769.454545455,491344,289,1037,11
277,217890.909090909,497880.727272727,290,207.636363636364,11
278,233143.272727273,493522.909090909,291,1035.09090909091,11
279,210264.727272727,493522.909090909,292,1241.27272727273,11
280,224427.636363636,497880.727272727,293,827.909090909091,11
281,215712,495701.818181818,294,412.272727272727,11
282,234232.727272727,496791.272727273,295,1032.72727272727,11
283,238590.545454545,494612.363636364,296,414.545454545455,11
284,235322.181818182,496791.272727273,297,1037.36363636364,11
285,222248.727272727,492433.454545455,298,621.363636363636,11
286,188475.636363636,495701.818181818,299,1245.54545454545,11
287,221159.272727273,496791.272727273,300,1035.63636363636,11
288,238590.545454545,495701.818181818,301,1034.72727272727,11
289,213533.090909091,496791.272727273,302,830.181818181818,11
290,208085.818181818,495701.818181818,303,1035.27272727273,11
291,235322.181818182,495701.818181818,304,621.818181818182,11
292,254932.363636364,496791.272727273,305,1241.72727272727,11
293,252753.454545455,495701.818181818,306,829.909090909091,11
294,203728,497880.727272727,307,621.454545454545,11
295,253842.909090909,494612.363636364,308,1244,11
296,239680,496791.272727273,309,1444,11
297,250574.545454545,495701.818181818,310,1443.63636363636,11
298,238590.545454545,500059.636363636,311,823.727272727273,11
299,232053.818181818,496791.272727273,312,413.545454545455,11
300,253842.909090909,496791.272727273,313,415,11
301,246216.727272727,493522.909090909,314,1036.36363636364,11
302,246216.727272727,497880.727272727,315,1241.45454545455,11
303,218980.363636364,494612.363636364,316,207.545454545455,11
304,241858.909090909,498970.181818182,317,1247.63636363636,11
305,242948.363636364,493522.909090909,318,415.454545454545,11
306,256021.818181818,496791.272727273,319,416.090909090909,11
307,230964.363636364,496791.272727273,320,621.545454545455,11
308,234232.727272727,496791.272727273,321,206.636363636364,11
309,249485.090909091,494612.363636364,322,1032.36363636364,11
310,248395.636363636,497880.727272727,323,828.090909090909,11
311,237501.090909091,494612.363636364,324,827.272727272727,11
312,248395.636363636,498970.181818182,325,1036,11
313,265826.909090909,493522.909090909,326,828.272727272727,11
314,215712,498970.181818182,327,829.818181818182,11
315,236411.636363636,493522.909090909,328,414.636363636364,11
316,242948.363636364,497880.727272727,329,414.363636363636,11
317,241858.909090909,493522.909090909,330,1453.54545454545,11
318,250574.545454545,498970.181818182,331,418.6,11
319,212024.615384615,434189.538461538,332,866.650769230769,13
320,167776,495338.666666667,333,443.886666666667,15
321,150998.4,496137.6,334,650.886666666667,15
322,155792,496936.533333333,335,848.866666666667,15
323,150998.4,492941.866666667,336,422.4,15
324,177363.2,500132.266666667,337,213.266666666667,15
325,166977.066666667,492941.866666667,338,955.4,15
326,194939.733333333,498534.4,339,522.866666666667,15
327,183754.666666667,494539.733333333,340,786.333333333333,15
328,186950.4,494539.733333333,341,459.066666666667,15
329,182156.8,497735.466666667,342,848.666666666667,15
