"time1_size_e_fq","rec_serv_e_fq","env_car_e_fq","time2_delay_e_fq","delay_rtt_e_fq","ncars_e_fq"
210,278900.363636364,494612.363636364,214,2741.54545454545,11
211,288705.454545455,495701.818181818,216,4114.45454545455,11
212,278900.363636364,495701.818181818,217,4103.18181818182,11
213,287616,495701.818181818,218,2731.54545454545,11
214,276721.454545455,495701.818181818,219,4107.45454545455,11
215,286526.545454545,495701.818181818,220,4108.27272727273,11
216,284347.636363636,495701.818181818,221,2742.09090909091,11
217,283258.181818182,496791.272727273,222,3419.54545454545,11
218,282168.727272727,494612.363636364,223,4774.09090909091,11
219,284347.636363636,496791.272727273,224,1369.18181818182,11
220,284347.636363636,496791.272727273,225,2741.63636363636,11
221,282168.727272727,492433.454545455,226,2055.27272727273,11
222,286526.545454545,496791.272727273,227,3434.27272727273,11
223,279989.818181818,494612.363636364,228,4799.36363636364,11
224,287616,496791.272727273,229,3432.09090909091,11
225,279989.818181818,493522.909090909,230,2058.63636363636,11
226,287616,497880.727272727,231,1373.18181818182,11
227,277810.909090909,492433.454545455,232,4803.09090909091,11
228,287616,495701.818181818,233,4112.54545454545,11
229,279989.818181818,494612.363636364,234,4099.72727272727,11
230,287616,495701.818181818,235,4787.63636363636,11
231,279989.818181818,493522.909090909,236,2054.18181818182,11
232,283258.181818182,496791.272727273,237,3404,11
233,285437.090909091,496791.272727273,238,2009.81818181818,11
234,282168.727272727,495701.818181818,239,4107.27272727273,11
235,282168.727272727,496791.272727273,240,2053.36363636364,11
236,283258.181818182,493522.909090909,241,5479.81818181818,11
237,286526.545454545,498970.181818182,242,2060,11
238,281079.272727273,495701.818181818,243,4801.45454545455,11
239,286526.545454545,497880.727272727,244,2738.27272727273,11
240,278900.363636364,494612.363636364,245,4113.54545454545,11
241,289794.909090909,492433.454545455,246,3420.81818181818,11
242,277810.909090909,498970.181818182,247,4104.81818181818,11
243,287616,497880.727272727,248,4096.36363636364,11
244,281079.272727273,493522.909090909,249,2731.63636363636,11
245,286526.545454545,496791.272727273,250,2728.90909090909,11
246,278900.363636364,496791.272727273,251,2733.18181818182,11
247,286526.545454545,494612.363636364,252,3424.54545454545,11
248,282168.727272727,495701.818181818,253,4105.54545454545,11
249,285437.090909091,494612.363636364,254,1368.54545454545,11
250,283258.181818182,495701.818181818,255,4788.90909090909,11
251,283258.181818182,491344,256,4106.54545454545,11
252,285437.090909091,495701.818181818,257,3421.72727272727,11
253,281079.272727273,492433.454545455,258,4798.36363636364,11
254,286526.545454545,492433.454545455,259,3419.09090909091,11
255,279989.818181818,497880.727272727,260,3420.09090909091,11
256,287616,494612.363636364,261,1369.72727272727,11
257,278900.363636364,491344,262,3422.90909090909,11
258,288705.454545455,498970.181818182,263,4105.72727272727,11
259,277810.909090909,492433.454545455,264,4114.90909090909,11
260,287616,498970.181818182,265,2740.18181818182,11
261,279989.818181818,494612.363636364,266,1374.63636363636,11
262,288705.454545455,495701.818181818,267,3426.09090909091,11
263,281079.272727273,497880.727272727,268,3434.90909090909,11
264,283258.181818182,493522.909090909,269,2054.09090909091,11
265,284347.636363636,496791.272727273,270,4115,11
266,284347.636363636,495701.818181818,271,4793.36363636364,11
267,283258.181818182,492433.454545455,272,4104.27272727273,11
268,282168.727272727,498970.181818182,273,4104.09090909091,11
269,285437.090909091,496791.272727273,274,2047.90909090909,11
270,282168.727272727,495701.818181818,275,3426.36363636364,11
271,286526.545454545,495701.818181818,276,3423.09090909091,11
272,278900.363636364,496791.272727273,277,3415.09090909091,11
273,287616,495701.818181818,278,1370.81818181818,11
274,279989.818181818,498970.181818182,279,4101.36363636364,11
275,287616,495701.818181818,280,3421.36363636364,11
276,278900.363636364,495701.818181818,281,4104.27272727273,11
277,286526.545454545,496791.272727273,282,1369.18181818182,11
