"time1_size_e_fs","rec_serv_e_fs","env_car_e_fs","time2_delay_e_fs","delay_rtt_e_fs","ncars_e_fs"
283,512043.636363636,495701.818181818,284,2748.63636363636,11
284,467376,495701.818181818,285,2580.09636363636,11
285,430334.545454545,495701.818181818,286,2807.82727272727,11
286,460839.272727273,495701.818181818,287,3843.67272727273,11
287,451034.181818182,496791.272727273,288,3260.00636363636,11
288,448855.272727273,496791.272727273,289,2686.56636363636,11
289,473912.727272727,495701.818181818,290,3019.81818181818,11
290,481538.909090909,498970.181818182,291,2208.95272727273,11
291,433602.909090909,492433.454545455,292,3384.05818181818,11
292,429245.090909091,497880.727272727,293,2976.18727272727,11
293,431424,497880.727272727,294,3793.62909090909,11
294,471733.818181818,496791.272727273,295,3399.92727272727,11
295,447765.818181818,495701.818181818,296,3689.28181818182,11
296,427066.181818182,492433.454545455,297,3415.36363636364,11
297,433602.909090909,496791.272727273,298,3160.28181818182,11
298,456481.454545455,494612.363636364,299,3202.54545454545,11
299,486986.181818182,494612.363636364,300,2305.11818181818,11
300,453213.090909091,494612.363636364,301,3848.82454545455,11
301,477181.090909091,492433.454545455,302,3128.18181818182,11
302,443408,500059.636363636,303,3113.32545454545,11
303,408545.454545455,493522.909090909,304,2321.61,11
304,433602.909090909,494612.363636364,305,3502.72727272727,11
305,537101.090909091,498970.181818182,306,2209.90909090909,11
306,422708.363636364,492433.454545455,307,3266.19090909091,11
307,446676.363636364,500059.636363636,308,2973.12272727273,11
308,422708.363636364,494612.363636364,309,3429.91818181818,11
309,431424,498970.181818182,310,4085.96363636364,11
310,435781.818181818,494612.363636364,311,2898.57272727273,11
311,424887.272727273,496791.272727273,312,3331.57,11
312,423797.818181818,495701.818181818,313,2686.95990909091,11
313,451034.181818182,495701.818181818,314,2751.10909090909,11
314,456481.454545455,495701.818181818,315,3588.32727272727,11
315,495701.818181818,497880.727272727,316,2381.54545454545,11
316,550174.545454545,493522.909090909,317,3037.63636363636,11
317,422708.363636364,497880.727272727,318,2512.38181818182,11
318,423797.818181818,494612.363636364,319,3296.51627272727,11
319,430334.545454545,495701.818181818,320,2162.71681818182,11
320,421618.909090909,492433.454545455,321,2516.43818181818,11
321,431424,497880.727272727,322,2732.94090909091,11
322,421618.909090909,493522.909090909,323,3610.31909090909,11
