"time1_size_e2_fs","rec_serv_e2_fs","env_car_e2_fs","time2_delay_e2_fs","delay_rtt_e2_fs","ncars_e2_fs"
185,464107.636363636,988135.272727273,186,1243.82090909091,11
186,459749.818181818,981598.545454545,187,972.491818181818,11
187,458660.363636364,984866.909090909,188,686.036363636364,11
188,455392,983777.454545455,189,346.345454545455,11
189,464107.636363636,982688,190,1041.23636363636,11
190,464107.636363636,988135.272727273,191,1387.65454545455,11
191,455392,985956.363636364,192,1.10272727272727,11
192,465197.090909091,984866.909090909,193,1038.81909090909,11
193,459749.818181818,984866.909090909,194,1387.64545454545,11
194,461928.727272727,983777.454545455,195,1389.38,11
195,466286.545454545,984866.909090909,196,1383.05363636364,11
196,460839.272727273,985956.363636364,197,1036.66363636364,11
197,466286.545454545,985956.363636364,198,1378.20454545455,11
198,453213.090909091,987045.818181818,199,1034.16090909091,11
199,468465.454545455,984866.909090909,200,346.996363636364,11
200,460839.272727273,983777.454545455,201,1734.63909090909,11
201,459749.818181818,987045.818181818,202,1731.52090909091,11
202,568695.272727273,984866.909090909,203,1034.11,11
203,656941.090909091,982688,204,1380.28818181818,11
204,747365.818181818,990314.181818182,205,1040.18818181818,11
205,833432.727272727,990314.181818182,206,1727.60636363636,11
206,902068.363636364,982688,207,1041.94909090909,11
207,914052.363636364,985956.363636364,208,1045.80545454545,11
208,905336.727272727,989224.727272727,209,1397.62727272727,11
209,865026.909090909,985956.363636364,210,697.823636363636,11
210,878100.363636364,987045.818181818,211,699.901818181818,11
211,835611.636363636,980509.090909091,212,1043.86727272727,11
212,888994.909090909,982688,213,1047.47181818182,11
213,879189.818181818,982688,214,1048.27272727273,11
214,912962.909090909,984866.909090909,215,699.934545454545,11
215,898800,983777.454545455,216,711.413636363636,11
216,916231.272727273,977240.727272727,217,1394.48272727273,11
217,872653.090909091,972882.909090909,218,705.737272727273,11
218,814912,980509.090909091,219,1365.85909090909,11
219,818180.363636364,980509.090909091,220,1007.69,11
220,756081.454545455,981598.545454545,221,994.384545454545,11
221,761528.727272727,980509.090909091,222,971.181818181818,11
222,713592.727272727,987045.818181818,223,951.719090909091,11
223,798570.181818182,988135.272727273,224,635.927272727273,11
224,748455.272727273,987045.818181818,225,907.209090909091,11
225,630794.181818182,984866.909090909,226,836.188181818182,11
226,593752.727272727,984866.909090909,227,263.818181818182,11
227,795301.818181818,981598.545454545,228,990.183636363636,11
228,802928,983777.454545455,229,763.231818181818,11
229,824717.090909091,982688,230,318.208181818182,11
230,777870.545454545,985956.363636364,231,461.048181818182,11
231,789854.545454545,985956.363636364,232,447.500909090909,11
232,744097.454545455,983777.454545455,233,294.001818181818,11
233,817090.909090909,988135.272727273,234,378.971818181818,11
234,772423.272727273,984866.909090909,235,325.207272727273,11
235,721218.909090909,981598.545454545,236,298.363636363636,11
236,681998.545454545,987045.818181818,237,240.308181818182,11
237,795301.818181818,983777.454545455,238,246.099090909091,11
238,810554.181818182,984866.909090909,239,114.369818181818,11
239,796391.272727273,984866.909090909,240,100.482727272727,11
240,741918.545454545,988135.272727273,241,54.2272727272727,11
241,761528.727272727,988135.272727273,242,18.5181818181818,11
242,719040,981598.545454545,243,10.2845454545455,11
243,690714.181818182,984866.909090909,244,8.18090909090909,11
244,662388.363636364,976151.272727273,245,3.06636363636364,11
245,811643.636363636,983777.454545455,246,8.62363636363636,11
246,804017.454545455,989224.727272727,247,10.63,11
247,809464.727272727,983777.454545455,248,15.7227272727273,11
248,808375.272727273,984866.909090909,249,9.99454545454545,11
249,771333.818181818,982688,250,9.55781818181818,11
250,780049.454545455,985956.363636364,251,9.92363636363636,11
251,747365.818181818,978330.181818182,252,9.88272727272727,11
252,789854.545454545,987045.818181818,253,9.11818181818182,11
253,795301.818181818,988135.272727273,254,9.23109090909091,11
254,729934.545454545,987045.818181818,255,13.7718181818182,11
255,707056,980509.090909091,256,8.75727272727273,11
256,714682.181818182,992493.090909091,257,7.07272727272727,11
257,825806.545454545,984866.909090909,258,9.45727272727273,11
258,777870.545454545,988135.272727273,259,18.1818181818182,11
259,831253.818181818,983777.454545455,260,15.2890909090909,11
260,823627.636363636,987045.818181818,261,8.14,11
261,816001.454545455,984866.909090909,262,11.97,11
262,778960,990314.181818182,263,12.0463636363636,11
263,773512.727272727,984866.909090909,264,7.12545454545455,11
264,759349.818181818,984866.909090909,265,3511.45363636364,11
265,824717.090909091,984866.909090909,266,13.6963636363636,11
266,831253.818181818,982688,267,19.6390909090909,11
267,838880,981598.545454545,268,7.62363636363636,11
268,837790.545454545,985956.363636364,269,3431.09272727273,11
