"time1_size_e2_fn","rec_serv_e2_fn","env_car_e2_fn","time2_delay_e2_fn","delay_rtt_e2_fn","ncars_e2_fn"
299,483717.818181818,983777.454545455,313,1036.90909090909,11
300,481538.909090909,985956.363636364,314,1451.09090909091,11
301,484807.272727273,985956.363636364,315,620.727272727273,11
302,425976.727272727,987045.818181818,316,621.090909090909,11
303,486986.181818182,983777.454545455,317,1038.63636363636,11
304,476091.636363636,991403.636363636,318,418.272727272727,11
305,470644.363636364,984866.909090909,319,413.545454545455,11
306,441229.090909091,989224.727272727,320,1661.90909090909,11
307,461928.727272727,987045.818181818,321,1450.81818181818,11
308,460839.272727273,984866.909090909,322,621.727272727273,11
309,447765.818181818,982688,323,620.090909090909,11
310,485896.727272727,983777.454545455,324,413.181818181818,11
311,488075.636363636,980509.090909091,325,413.454545454545,11
312,493522.909090909,981598.545454545,326,828.363636363636,11
313,468465.454545455,991403.636363636,327,1034.45454545455,11
314,478270.545454545,983777.454545455,328,622.181818181818,11
315,482628.363636364,987045.818181818,329,413.636363636364,11
316,453213.090909091,983777.454545455,330,622.727272727273,11
317,437960.727272727,983777.454545455,331,416.290909090909,11
318,455392,981598.545454545,332,1036.96,11
319,371504,858238.769230769,333,363.438461538462,13
320,328361.6,983486.933333333,334,650.066666666667,15
321,342742.4,986682.666666667,335,659.933333333333,15
322,323568,988280.533333333,336,580.333333333333,15
323,327562.666666667,981090.133333333,337,751.733333333333,15
324,345139.2,986682.666666667,338,494,15
325,378694.4,980291.2,339,894.666666666667,15
326,347536,986682.666666667,340,421.733333333333,15
327,333155.2,985084.8,341,207.6,15
328,337948.8,982688,342,452.133333333333,15
329,341943.466666667,985883.733333333,343,1022.86666666667,15
330,353927.466666667,985883.733333333,344,824.933333333333,15
331,384286.933333333,985084.8,345,782.4,15
332,446603.733333333,987481.6,347,1277.06666666667,15
333,528094.933333333,980291.2,348,235.266666666667,15
334,514513.066666667,985883.733333333,349,937,15
335,544073.6,977894.4,350,1326.2,15
336,510518.4,989079.466666667,351,723.8,15
337,520904.533333333,978693.333333333,352,308.533333333333,15
338,524100.266666667,985883.733333333,353,155.466666666667,15
339,542475.733333333,989079.466666667,354,611.8,15
340,516909.866666667,983486.933333333,355,887.4,15
341,543274.666666667,989079.466666667,356,742.466666666667,15
342,518507.733333333,989079.466666667,357,1655.73333333333,15
343,522502.4,987481.6,358,741.733333333333,15
344,500931.2,986682.666666667,359,150.533333333333,15
345,516909.866666667,987481.6,360,458.933333333333,15
346,527296,981889.066666667,361,917.333333333333,15
347,527296,985883.733333333,362,750.6,15
348,512915.2,986682.666666667,363,761.533333333333,15
349,516909.866666667,987481.6,364,1270.53333333333,15
350,508121.6,985084.8,365,601.6,15
351,513714.133333333,987481.6,366,535.666666666667,15
352,516110.933333333,984285.866666667,367,1231.46666666667,15
353,539280,977894.4,368,334.333333333333,15
354,505724.8,973899.733333333,369,687.933333333333,15
355,513714.133333333,988280.533333333,370,152.666666666667,15
