"time1_size_s_fs","rec_serv_s_fs","env_car_s_fs","time2_delay_s_fs","delay_rtt_s_fs","ncars_s_fs"
314,472823.272727273,493522.909090909,315,8.17636363636364,11
315,436871.272727273,497880.727272727,316,3.80681818181818,11
316,409634.909090909,492433.454545455,317,3.89,11
317,498970.181818182,495701.818181818,318,6.56681818181818,11
318,467376,497880.727272727,319,3.70327272727273,11
319,478270.545454545,495701.818181818,320,5.29327272727273,11
320,485896.727272727,497880.727272727,321,5.69181818181818,11
321,472823.272727273,495701.818181818,322,14.0820909090909,11
322,457570.909090909,495701.818181818,323,10.5646363636364,11
323,394382.545454545,495701.818181818,324,3.26990909090909,11
324,490254.545454545,496791.272727273,325,4.90409090909091,11
325,433602.909090909,495701.818181818,326,11.2127272727273,11
326,410724.363636364,493522.909090909,327,9.00190909090909,11
327,476091.636363636,496791.272727273,328,8.31181818181818,11
328,530564.363636364,498970.181818182,329,5.65818181818182,11
329,520759.272727273,494612.363636364,330,3.72545454545455,11
330,592663.272727273,497880.727272727,331,5.53545454545455,11
331,501330.666666667,461384,332,2.50191666666667,12
332,420296,493056,333,2.22892857142857,14
333,381776,493056,334,2.66078571428571,14
334,457960,499904,335,3.27357142857143,14
335,439128,493056,336,2.56135714285714,14
336,445976,497336,337,7.61221428571429,14
337,463096,494768,338,2.8165,14
338,419440,495624,339,7.475,14
339,457960,498192,340,2.96042857142857,14
340,404888,494768,341,3.89785714285714,14
341,451968,493912,342,10.9467142857143,14
342,440840,498192,343,3.27285714285714,14
343,423720,495624,344,173.357142857143,14
344,413847.466666667,496137.6,345,521.4,15
345,418641.066666667,496936.533333333,346,290.733333333333,15
346,413048.533333333,496936.533333333,347,164.060666666667,15
347,450598.4,496936.533333333,348,27.9806666666667,15
348,428228.266666667,495338.666666667,349,24.006,15
349,417842.133333333,498534.4,350,23.8897333333333,15
350,447402.666666667,494539.733333333,351,11.3773333333333,15
351,430625.066666667,499333.333333333,352,16.8315333333333,15
352,416244.266666667,494539.733333333,353,9.43066666666667,15
353,425032.533333333,498534.4,354,21.1380666666667,15
354,472169.6,493740.8,355,18.4206666666667,15
355,421836.8,495338.666666667,356,16.962,15
356,437815.466666667,496137.6,357,5.776,15
357,419440,497735.466666667,358,14.9606666666667,15
358,409053.866666667,495338.666666667,359,26.3606666666667,15
359,360318.933333333,496936.533333333,360,6.15733333333333,15
360,425831.466666667,491344,361,24.016,15
361,436217.6,496137.6,362,12.9793333333333,15
362,436217.6,496137.6,363,57.142,15
363,443408,495338.666666667,364,19.224,15
364,440212.266666667,497735.466666667,365,13.1666666666667,15
365,411450.666666667,492941.866666667,366,3.14133333333333,15
366,406657.066666667,498534.4,367,25.3933333333333,15
367,391477.333333333,496137.6,368,88.2,15
368,396270.933333333,497735.466666667,369,42.26,15
369,427429.333333333,496137.6,370,69.88,15
370,439413.333333333,497735.466666667,371,120.2,15
371,422635.733333333,496936.533333333,372,152.6,15
372,425032.533333333,495338.666666667,373,402.6,15
373,363514.666666667,496936.533333333,374,60.5593333333333,15
374,400265.6,496137.6,375,34.7513333333333,15
375,417043.2,492142.933333333,376,72.8866666666667,15
376,429826.133333333,498534.4,377,145.533333333333,15
377,394673.066666667,496137.6,378,329.866666666667,15
378,409053.866666667,494539.733333333,379,223.4,15
379,360318.933333333,496137.6,380,47.72,15
380,397069.866666667,496137.6,381,65.6933333333333,15
381,390678.4,495338.666666667,382,17.9826666666667,15
382,409852.8,496936.533333333,383,22.6331333333333,15
383,405059.2,493740.8,384,14.198,15
384,377895.466666667,497735.466666667,385,36.0613333333333,15
385,354726.4,496936.533333333,386,6.11733333333333,15
386,395472,494539.733333333,387,44.4670666666667,15
387,407456,496936.533333333,388,10.8053333333333,15
388,397069.866666667,496137.6,389,4.69333333333333,15
389,399466.666666667,494539.733333333,390,8.638,15
390,367509.333333333,495338.666666667,391,6.562,15
391,402662.4,496137.6,392,17.2973333333333,15
392,407456,492941.866666667,393,45.7473333333333,15
393,395472,499333.333333333,394,17.32,15
394,433021.866666667,495338.666666667,395,44.12,15
395,397069.866666667,496137.6,396,25.454,15
396,385884.8,496137.6,397,15.652,15
