"time1_size_g_fn","rec_serv_g_fn","env_car_g_fn","time2_delay_g_fn","delay_rtt_g_fn","ncars_g_fn"
268,248395.636363636,493522.909090909,283,826.727272727273,11
269,259290.181818182,496791.272727273,284,207.636363636364,11
270,223338.181818182,491344,285,1451.54545454545,11
271,247306.181818182,495701.818181818,286,1243.27272727273,11
272,258200.727272727,495701.818181818,287,1036.45454545455,11
273,283258.181818182,495701.818181818,288,831.363636363636,11
274,261469.090909091,494612.363636364,289,625.181818181818,11
275,238590.545454545,500059.636363636,290,1449.63636363636,11
276,269095.272727273,493522.909090909,291,826.272727272727,11
277,264737.454545455,496791.272727273,292,1032.36363636364,11
278,284347.636363636,493522.909090909,293,1033.90909090909,11
279,272363.636363636,494612.363636364,294,1238.54545454545,11
280,239680,495701.818181818,295,1033.36363636364,11
281,229874.909090909,497880.727272727,296,1445.09090909091,11
282,261469.090909091,493522.909090909,297,1035.90909090909,11
283,232053.818181818,498970.181818182,298,413.454545454545,11
284,214622.545454545,496791.272727273,299,1037,11
285,206996.363636364,495701.818181818,300,1039.90909090909,11
286,256021.818181818,496791.272727273,301,1240.81818181818,11
287,250574.545454545,494612.363636364,302,208.454545454545,11
288,214622.545454545,496791.272727273,303,832.636363636364,11
289,232053.818181818,497880.727272727,304,1033.45454545455,11
290,253842.909090909,494612.363636364,305,412.454545454545,11
291,218980.363636364,500059.636363636,306,825.636363636364,11
292,215712,493522.909090909,307,1241.90909090909,11
293,239680,497880.727272727,308,412.909090909091,11
294,240769.454545455,490254.545454545,309,617.727272727273,11
295,222248.727272727,495701.818181818,310,821.636363636364,11
296,208085.818181818,498970.181818182,311,826.090909090909,11
297,221159.272727273,494612.363636364,312,829,11
298,249485.090909091,498970.181818182,313,1244.45454545455,11
299,224427.636363636,493522.909090909,314,414,11
300,211354.181818182,497880.727272727,315,620,11
301,214622.545454545,495701.818181818,316,414.181818181818,11
302,271274.181818182,495701.818181818,317,829.454545454545,11
303,241858.909090909,496791.272727273,318,832.636363636364,11
304,225517.090909091,495701.818181818,319,832,11
305,230964.363636364,495701.818181818,320,833.181818181818,11
306,248395.636363636,495701.818181818,321,1038.90909090909,11
307,254932.363636364,494612.363636364,322,828.818181818182,11
308,244037.818181818,497880.727272727,323,1652.81818181818,11
309,249485.090909091,493522.909090909,324,1241.45454545455,11
310,206996.363636364,497880.727272727,325,1035.72727272727,11
311,221159.272727273,496791.272727273,326,414.909090909091,11
312,203728,496791.272727273,327,831.181818181818,11
313,210264.727272727,494612.363636364,328,208.181818181818,11
314,250574.545454545,497880.727272727,329,827.818181818182,11
315,225517.090909091,495701.818181818,330,622.545454545455,11
316,251664,495701.818181818,331,417.6,11
317,262558.545454545,498970.181818182,332,619.167272727273,11
318,235322.181818182,493522.909090909,333,1045.84545454545,11
319,215712,436033.230769231,334,402,13
320,194939.733333333,496137.6,335,160.8,15
321,198135.466666667,494539.733333333,336,695.733333333333,15
322,215712,497735.466666667,337,751.4,15
323,207722.666666667,494539.733333333,338,215.266666666667,15
324,170971.733333333,495338.666666667,339,159.2,15
325,149400.533333333,498534.4,340,273.066666666667,15
326,150199.466666667,493740.8,342,850.4,15
327,174966.4,499333.333333333,343,363.133333333333,15
328,162982.4,492941.866666667,344,1226.53333333333,15
329,170172.8,496936.533333333,345,459,15
330,160585.6,494539.733333333,346,313.333333333333,15
331,191744,496137.6,347,941.866666666667,15
332,226098.133333333,494539.733333333,348,592.4,15
333,246071.466666667,495338.666666667,349,1136.26666666667,15
334,253261.866666667,496137.6,350,1886.46666666667,15
335,264446.933333333,498534.4,351,153.733333333333,15
336,253261.866666667,494539.733333333,352,885.133333333333,15
337,262849.066666667,497735.466666667,353,619.4,15
338,260452.266666667,494539.733333333,354,764.733333333333,15
339,238881.066666667,496936.533333333,355,1176.13333333333,15
340,268441.6,497735.466666667,356,1193.33333333333,15
341,245272.533333333,494539.733333333,357,1038.13333333333,15
342,262849.066666667,497735.466666667,358,889.8,15
343,250865.066666667,496137.6,359,913,15
344,241178,465878,360,290.5,16
345,240478.933333333,496936.533333333,361,765.533333333333,15
346,245272.533333333,496137.6,362,451.4,15
347,250066.133333333,495338.666666667,363,292.8,15
348,266843.733333333,498534.4,364,1116.06666666667,15
349,255658.666666667,495338.666666667,365,1256.13333333333,15
350,266044.8,495338.666666667,366,877,15
351,263648,494539.733333333,367,1229.13333333333,15
352,273235.2,497735.466666667,368,844.866666666667,15
353,235685.333333333,492941.866666667,369,501.933333333333,15
354,278827.733333333,495338.666666667,370,617.8,15
355,268441.6,494539.733333333,371,107,15
356,279626.666666667,492142.933333333,372,278.6,15
357,234886.4,499333.333333333,373,432.4,15
358,257256.533333333,492941.866666667,374,390.533333333333,15
359,285219.2,497735.466666667,375,989.533333333333,15
360,260452.266666667,492142.933333333,376,721.8,15
361,253261.866666667,496936.533333333,377,679.8,15
362,250865.066666667,492941.866666667,378,493.133333333333,15
363,242076.8,495338.666666667,379,615.666666666667,15
364,266843.733333333,495338.666666667,380,443.466666666667,15
365,258055.466666667,498534.4,381,724.6,15
366,271637.333333333,492142.933333333,382,457.466666666667,15
367,258055.466666667,499333.333333333,383,813.066666666667,15
368,272436.266666667,495338.666666667,384,572.666666666667,15
369,266843.733333333,496936.533333333,385,357.866666666667,15
370,262849.066666667,497735.466666667,386,769.733333333333,15
371,261251.2,495338.666666667,387,424.533333333333,15
372,245272.533333333,494539.733333333,388,243.533333333333,15
373,242875.733333333,495338.666666667,389,104,15
374,255658.666666667,496137.6,390,548.333333333333,15
375,264446.933333333,497735.466666667,391,471.866666666667,15
376,276430.933333333,494539.733333333,392,522.466666666667,15
377,271637.333333333,495338.666666667,393,572.8,15
378,270838.4,496137.6,394,916.466666666667,15
379,254859.733333333,492142.933333333,395,656.133333333333,15
380,245272.533333333,497735.466666667,396,387.666666666667,15
381,254060.8,492142.933333333,397,485,15
382,188548.266666667,495338.666666667,398,692.8,15
383,218907.733333333,496936.533333333,399,893.266666666667,15
384,256457.6,496137.6,400,709.4,15
385,274034.133333333,495338.666666667,401,1124.86666666667,15
386,260452.266666667,494539.733333333,402,675.8,15
387,266044.8,495338.666666667,403,737.8,15
388,257256.533333333,496936.533333333,404,610.333333333333,15
389,261251.2,492142.933333333,405,1058,15
390,253261.866666667,493740.8,406,1053.6,15
391,267642.666666667,500132.266666667,407,916.866666666667,15
392,270838.4,491344,408,311.666666666667,15
393,248468.266666667,498534.4,409,302.466666666667,15
394,270039.466666667,492941.866666667,410,280.8,15
395,266843.733333333,496936.533333333,411,942.866666666667,15
396,275632,492941.866666667,412,498.6,15
397,254060.8,498534.4,413,543.533333333333,15
398,233288.533333333,492941.866666667,414,628.333333333333,15
399,248468.266666667,496137.6,415,450.933333333333,15
400,256457.6,492941.866666667,416,289.533333333333,15
401,266843.733333333,497735.466666667,417,876.666666666667,15
402,254060.8,494539.733333333,418,412.133333333333,15
403,277229.866666667,494539.733333333,419,312.733333333333,15
404,274833.066666667,496936.533333333,420,921.466666666667,15
405,279626.666666667,491344,421,793.466666666667,15
406,258055.466666667,496936.533333333,422,920.933333333333,15
407,266044.8,496137.6,423,151.4,15
408,266044.8,498534.4,424,628.533333333333,15
409,271637.333333333,492941.866666667,425,278.933333333333,15
410,264446.933333333,496137.6,426,786.066666666667,15
411,271637.333333333,493740.8,427,109.133333333333,15
412,269240.533333333,496936.533333333,428,1007.53333333333,15
413,270039.466666667,493740.8,429,844.866666666667,15
414,274833.066666667,496936.533333333,430,154.133333333333,15
415,278028.8,492142.933333333,431,773.266666666667,15
416,277229.866666667,492941.866666667,432,1086.13333333333,15
417,278028.8,497735.466666667,433,1055.06666666667,15
418,261251.2,495338.666666667,434,1110.4,15
419,261251.2,494539.733333333,435,915.933333333333,15
420,274034.133333333,495338.666666667,436,1081.33333333333,15
421,289213.866666667,499333.333333333,437,1122.73333333333,15
422,284420.266666667,495338.666666667,438,607.466666666667,15
423,262849.066666667,492941.866666667,439,155.133333333333,15
424,275632,496936.533333333,440,459,15
425,270838.4,495338.666666667,441,591.333333333333,15
426,260452.266666667,492941.866666667,442,183.333333333333,15
427,274833.066666667,494539.733333333,443,151.666666666667,15
428,261251.2,496137.6,444,90.7333333333333,15
429,299600,496936.533333333,445,66.7133333333333,15
430,269240.533333333,494539.733333333,446,390.666666666667,15
431,258854.4,494539.733333333,447,415.666666666667,15
432,249267.2,494539.733333333,448,448.333333333333,15
433,250865.066666667,496936.533333333,449,574.066666666667,15
434,274034.133333333,497735.466666667,450,446.066666666667,15
435,243674.666666667,494539.733333333,451,663.333333333333,15
436,233288.533333333,496936.533333333,452,446.933333333333,15
437,229293.866666667,496936.533333333,453,474.533333333333,15
438,226098.133333333,492142.933333333,454,908.266666666667,15
439,251664,497735.466666667,455,869.8,15
440,258854.4,492941.866666667,456,1114.8,15
441,266044.8,496936.533333333,457,1194.53333333333,15
442,251664,495338.666666667,458,697.133333333333,15
443,269240.533333333,494539.733333333,459,1148.33333333333,15
444,246071.466666667,494539.733333333,460,758.933333333333,15
445,266843.733333333,491344,461,740.8,15
446,262050.133333333,494539.733333333,462,468.4,15
447,261251.2,492941.866666667,463,1391.73333333333,15
448,246870.4,495338.666666667,464,941.866666666667,15
449,254859.733333333,492142.933333333,465,1224.26666666667,15
450,249267.2,496137.6,466,1235.6,15
